Theft Status,Occurrence Hour,Occurrence Month,Premises Type,Bike Cost
1,3,8,Residential,1500
1,3,8,Residential,400
1,3,8,Residential,800
1,20,8,Residential,200
1,8,8,Outdoors,0
1,10,8,Residential,830
1,15,8,Residential,400
1,8,8,Residential,500
1,11,8,Outdoors,500
0,21,6,Residential,1200
1,10,8,Residential,699
1,11,8,Outdoors,600
1,17,8,Outdoors,900
1,11,8,Residential,800
1,0,8,Residential,400
1,17,8,Residential,900
1,13,8,Outdoors,639.989990234375
1,22,8,Residential,500
1,17,8,Outdoors,600
1,10,8,Outdoors,1500
1,12,8,Residential,800
1,14,8,Residential,1000
1,20,8,Residential,300
1,21,8,Residential,2000
1,21,8,Residential,800
1,14,8,Residential,630
1,12,6,Residential,500
1,21,8,Residential,150
1,20,8,Residential,159
1,18,8,Outdoors,0
1,5,8,Outdoors,1121
1,15,9,Residential,80
1,0,9,Residential,500
1,20,8,Residential,500
1,9,9,Residential,800
1,9,9,Residential,1100
1,0,8,Residential,1400
1,11,8,Residential,600
1,17,9,Residential,850
1,11,8,Residential,600
1,7,8,Residential,550
1,15,9,Outdoors,599.989990234375
1,16,8,Other,1000
1,18,8,Residential,400
1,0,9,Residential,1000
1,16,8,Other,700
1,17,8,Residential,500
1,14,8,Residential,98
1,11,9,Outdoors,1800
1,22,9,Residential,400
1,22,9,Residential,400
1,11,8,Outdoors,185
1,1,9,Outdoors,200
1,0,8,Residential,1800
1,11,9,Outdoors,579
1,11,9,Outdoors,599.989990234375
1,11,9,Outdoors,1449.98999023438
1,0,9,Residential,240
1,11,9,Outdoors,1581.98999023438
1,21,8,Outdoors,2000
0,0,9,Outdoors,400
1,9,9,Residential,100
1,21,8,Residential,400
1,12,9,Outdoors,280
1,7,9,Outdoors,250
1,0,8,Residential,400
1,8,9,Outdoors,500
1,22,8,Outdoors,600
1,0,8,Residential,1152.77001953125
1,9,9,Outdoors,710
1,23,9,Residential,700
1,17,8,Other,600
